PROD_ID,PROD_NAME,STOCK_QTY,PROD_PRICE
1000,Team USA Pin,-30,3.99
1001,Olympic USA Adult Gloves,-100,3.97
1002,Olympic Ladies Tank Top,2,13.97
1003,Olympic Wall Decor Stickers Set,0,9.99
1004,US Olympic Team Flag,0,2.5
1005,Jamaican Bobsled Shirt,1,19.99
1006,Team Japan Hat,2,24.99
1007,Olympic Pride Gift Card,10,20
1008,Olympic Mug,5,5.99
1009,Olympic Throw Blanket,0,19.99
1010,Team USA Bandana,5,11.99
1011,Olympic Torch Lighter,2,3.99
1012,Olympic Postcard,25,1.99
1013,Olympic Scarf,4,9.99
1014,Team USA Jacket,2,65.99
1015,Team Brazil Bracelet,2,4.99
1016,Team USA Winter Hat Skullcap,8,21.99
1017,Team Australia Swim Cap,0,8.99
1018,Olympic Mesh Shorts,0,24.99
1019,Team USA Men's Polo Shirt,2,34.99
1020,Team USA Women's Yoga Pants,1,29.99
1021,Olympic Sweatpants,0,25.99
1022,Olympic Sweatshirt,0,34.99
1023,Team USA Beach Towel,1,19.99
